PipeID	Length(km)	RR	Diameter(mm)	Material
1	1.2	0.110595	1400	DI
2	1.4	0.110595	900	DI
3	0.8	0.110595	300	DI
4	2	0.110595	300	DI
5	1.3	0.110595	900	DI
6	2.1	0.110595	750	DI
7	2.6	0.110595	600	DI
8	3.5	0.110595	1000	DI
9	0.8	0.110595	1000	DI
10	0.6	0.110595	700	DI
11	1.3	0.110595	300	DI
12	1.3	0.110595	300	DI
13	3.7	0.110595	500	DI
14	1.45	0.110595	500	DI
15	0.5	0.110595	500	DI
16	1.4	0.110595	600	DI
17	1.5	0.110595	500	DI
18	1.1	0.110595	500	DI
19	0.9	0.110595	500	DI
20	1.4	0.110595	500	DI
21	1.2	0.110595	850	DI
22	1.6	0.110595	500	DI
23	0.7	0.110595	500	DI
24	1	0.110595	600	DI
25	1.75	0.110595	300	DI
26	2.3	0.110595	500	DI
27	1.1	0.110595	900	DI
28	2.6	0.110595	500	DI
29	0.75	0.110595	600	DI
30	1.3	0.110595	500	DI
31	1.6	0.110595	500	DI
32	0.5	0.110595	300	DI
33	1.4	0.110595	200	DI
34	2.9	0.110595	500	DI
35	2.7	0.110595	700	DI
36	1.2	0.110595	500	DI
37	1.05	0.110595	500	DI
38	1.2	0.110595	500	DI
39	1	0.110595	500	DI
40	1.5	0.110595	500	DI
41	1	0.110595	600	DI
42	2	0.110595	300	DI
43	2.9	0.110595	500	DI
44	3	0.110595	1600	DI
45	1.7	0.110595	1400	DI
46	0.85	0.110595	1400	DI
47	1.4	0.110595	1100	DI
48	1.1	0.110595	1100	DI
49	0.95	0.110595	850	DI
50	0.95	0.110595	500	DI
51	0.9	0.110595	500	DI
52	3	0.110595	700	DI
53	3.15	0.110595	500	DI
54	1.2	0.110595	500	DI
55	1.5	0.110595	500	DI
56	1	0.110595	500	DI
57	1.1	0.110595	500	DI
58	3.6	0.110595	1000	DI
59	0.8	0.110595	1000	DI
60	1.75	0.110595	600	DI
61	1.1	0.110595	500	DI
62	0.55	0.110595	500	DI
63	0.48	0.110595	400	DI
64	2.82	0.110595	700	DI
65	0.68	0.110595	600	DI
66	0.55	0.110595	500	DI
67	2.8	0.110595	700	DI
68	1	0.110595	500	DI
69	1.4	0.110595	300	DI
70	0.65	0.110595	500	DI
71	1.4	0.110595	500	DI
72	1	0.110595	500	DI
73	0.9	0.110595	500	DI
74	1.1	0.110595	500	DI
75	1.742	0.110595	1000	DI
76	6.6363	0.110595	500	DI
77	4.2628	0.110595	1000	DI
78	8.5771	0.110595	500	DI
